Ruler,Label,Sequence
urn:cite2:chron:jer_persians:ruler1,Cyrus,1
urn:cite2:chron:jer_persians:ruler2,Cambyses,2
urn:cite2:chron:jer_persians:ruler3,Darius,3
urn:cite2:chron:jer_persians:ruler4,Xerxes,4
urn:cite2:chron:jer_persians:ruler5,Artaxerxes Longimanus,5
urn:cite2:chron:jer_persians:ruler6,Darius Nothus,6
urn:cite2:chron:jer_persians:ruler7,Artaxerxes Mnemon,7
urn:cite2:chron:jer_persians:ruler8,Artaxerxes Ochus,8
urn:cite2:chron:jer_persians:ruler9,Arses,9
urn:cite2:chron:jer_persians:ruler10,Darius,10
